rightsHolder,bed,country,habitat,year,scientificName,individualCount,county,decimalLatitude,type,catalogNumber,basisOfRecord,modified,maximumDepthInMeters,latestEpochOrHighestSeries,verbatimElevation,day,group,order,infraspecificEpithet,recordNumber,verbatimEventDate,higherGeography,georeferencedBy,island,locality,minimumElevationInMeters,georeferenceRemarks,stateProvince,decimalLongitude,collectionCode,verbatimLocality,occurrenceID,earliestEpochOrLowestSeries,maximumElevationInMeters,verbatimLatitude,license,month,dateIdentified,genus,isMarine,earliestPeriodOrLowestSystem,collectionID,eventDate,identificationID,continent,latestEraOrHighestErathem,eventID,earliestAgeOrLowestStage,scientificNameAuthorship,islandGroup,coordinateUncertaintyInMeters,taxonRank,formation,minimumDepthInMeters,institutionCode,verbatimLongitude,member,identifiedBy,class,nomenclaturalCode,georeferenceProtocol,sex,latestPeriodOrHighestSystem,typeStatus,verbatimCoordinateSystem,associatedMedia,geodeticDatum,lithostratigraphicTerms,waterBody,earliestEraOrLowestErathem,kingdom,specificEpithet,recordedBy,otherCatalogNumbers,phylum,lifeStage,latestAgeOrHighestStage,occurrenceRemarks,associatedSequences,family,georeferenceSources
"",,,,,,,ICZN,,South America,Venezuela: Pargo Hacienda,,,,,,1,Chordata,1937-01-01,MCZ,,Gonatodes,,,,,PhysicalObject,,,,collector number=3; muse location number=ZR43893,,Squamata,2015-08-19 16:14:20.0,,,1937-1937,,1,43893,false,,,Gonatodes ocellatus,,,277394,Sucre,,,MCZ:Herp:R-43893,Herp,,CC-BY-NC,,,,Animalia,Reptilia,"(Gray, 1831)",,,,Gekkonidae,,,PreservedSpecimen,54533,Harry A. Beatty,ocellatus,President and Fellows of Harvard College,,,,,Catalog,Venezuela: Pargo Hacienda,,South America: Sucre,,,
"",,,,,,,ICZN,,Oceania,"Pago Pago,Tutuila,Samoa",,,,,,1,Chordata,1931-08-07,MCZ,,Gehyra,,,,,PhysicalObject,,,,muse location number=ZR44331,,Squamata,2015-05-14 16:06:37.0,,,7/8/1931-7/8/1931,,1,44331,false,,American Samoa,Gehyra insulensis,,,279479,,,,MCZ:Herp:R-44331,Herp,,CC-BY-NC,,,,Animalia,Reptilia,,,,,Gekkonidae,,,PreservedSpecimen,55128,Harvard Australian Expedition 1931-1932,insulensis,President and Fellows of Harvard College,,Samoa Islands,,,Catalog,"Pago Pago,Tutuila,Samoa",,Oceania: American Samoa: Samoa Islands,,,
"",,,,,,,ICZN,La Digue Island,Africa,"Seychelle Ids,La Digue id",,,,,,1,Chordata,1938-01-01,MCZ,,Pelusios,,,,,PhysicalObject,,,,muse location number=ZR45506,,Testudinata,2015-08-19 16:14:13.0,,,1938-1938,,1,45509,false,,,Pelusios castanoides intergularis,,,285549,,,,MCZ:Herp:R-45509,Herp,,CC-BY-NC,,intergularis,,Animalia,Reptilia,,,,,Pelomedusidae,,,PreservedSpecimen,57025,LDEFVesey-Fitzgerald,castanoides,President and Fellows of Harvard College,,Seychelles Islands,,"Paratype of <a href=""http://mczbase.mcz.harvard.edu/name/Pelusios castanoides intergularis""><i>Pelusios castanoides intergularis</i></a> in <a href=""http://mczbase.mcz.harvard.edu/SpecimenUsage.cfm?publication_id=0""> no agent data 1700</a>",Bour,"Seychelle Ids,La Digue Id",,Africa: Seychelles Islands: La Digue Island,,,
"",,,,,,,ICZN,La Digue Island,Africa,"Seychelle Ids,La Digue id",,,,,,1,Chordata,1938-01-01,MCZ,,Pelusios,,,,,PhysicalObject,,,,muse location number=ZR45506,,Testudinata,2015-08-19 16:14:13.0,,,1938-1938,,1,45512,false,,,Pelusios castanoides intergularis,,,285552,,,,MCZ:Herp:R-45512,Herp,,CC-BY-NC,,intergularis,,Animalia,Reptilia,,,,,Pelomedusidae,,,PreservedSpecimen,57025,LDEFVesey-Fitzgerald,castanoides,President and Fellows of Harvard College,,Seychelles Islands,,"Paratype of <a href=""http://mczbase.mcz.harvard.edu/name/Pelusios castanoides intergularis""><i>Pelusios castanoides intergularis</i></a> in <a href=""http://mczbase.mcz.harvard.edu/SpecimenUsage.cfm?publication_id=0""> no agent data 1700</a>",Bour,"Seychelle Ids,La Digue Id",,Africa: Seychelles Islands: La Digue Island,,,
"",,,,,,,ICZN,La Digue Island,Africa,"Seychelle Ids,La Digue id",,,,,,1,Chordata,1938-01-01,MCZ,,Pelusios,,,,,PhysicalObject,,,,muse location number=ZR45506,,Testudinata,2015-08-19 16:14:13.0,,,1938-1938,,1,45514,false,,,Pelusios castanoides intergularis,,,285554,,,,MCZ:Herp:R-45514,Herp,,CC-BY-NC,,intergularis,,Animalia,Reptilia,,,,,Pelomedusidae,,,PreservedSpecimen,57025,LDEFVesey-Fitzgerald,castanoides,President and Fellows of Harvard College,,Seychelles Islands,,"Paratype of <a href=""http://mczbase.mcz.harvard.edu/name/Pelusios castanoides intergularis""><i>Pelusios castanoides intergularis</i></a> in <a href=""http://mczbase.mcz.harvard.edu/SpecimenUsage.cfm?publication_id=0""> no agent data 1700</a>",Bour,"Seychelle Ids,La Digue Id",,Africa: Seychelles Islands: La Digue Island,,,
"",,,,,,,ICZN,Tasmania?,Australia,,,,,,,2,Chordata,1810-01-01,MCZ,,Vombatus,,,,,PhysicalObject,,,,,Bisected skull.,Marsupialia,2015-05-20 12:03:46.0,,,[no verbatim date data],,1,5217,false,,,Vombatus ursinus,,,389944,,,,MCZ:Mamm:BOM-5217,Mamm,,CC-BY-NC,,,,Animalia,Mammalia,"(Shaw, 1800)",,,,Vombatidae,,,PreservedSpecimen,87148,Edward Gerrard Jr.,ursinus,President and Fellows of Harvard College,,,,,[no agent data],,,Australia: Tasmania?,,,
"",,,,,,,ICZN,Borneo?,Asia,?Borneo,,,,,,2,Chordata,1700-01-01,MCZ,,Pongo,,,,,PhysicalObject,,,,,,Primates,2015-05-20 12:10:59.0,,,[no verbatim date data],,1,14648,false,male,,Pongo pygmaeus,,,432879,,,,MCZ:Mamm:14648,Mamm,,CC-BY-NC,,,,Animalia,Mammalia,"(Linnaeus, 1760)",,,,Pongidae,,,PreservedSpecimen,130043,[no agent data],pygmaeus,President and Fellows of Harvard College,,,,,[no agent data],,,Asia: Borneo?,,,
"",,,,,,,ICZN,,Asia,Caucasus:  Kubansk district,,,,,,2,Chordata,1914-01-01,MCZ,,Sus,,,,,PhysicalObject,,,,additional number=10501,"Sent on loan, 1942.  Never returned.  Consider lost, October 1983 MER. See correspondence L Baher and G Huber.",Artiodactyla,2015-05-20 12:08:39.0,,,1914,,1,29674,false,male,,Sus scrofa attila,,,435610,Kubansk,,,MCZ:Mamm:29674,Mamm,,CC-BY-NC,,attila,,Animalia,Mammalia,"Thomas, 1912",,,,Suidae,,,PreservedSpecimen,132773,"Schapostchuikov, Ch.",scrofa,President and Fellows of Harvard College,,,,,[no agent data],Caucasus,,Asia: Kubansk,,,
"",,,,,,,ICZN,,South America,"Str. of Magellan, east coast of Patagonia",,,,,,3,Mollusca,1842-03-15,MCZ,,Chlamys,,,,,PhysicalObject,,,,,,Pectinoida,2014-12-16 12:48:00.0,,,"March 15-April 1, 1872 based on literature",,1,317759,false,,,Chlamys natans,,,488920,Straits of Magellan,,,MCZ:Mala:317759,Mala,,CC-BY-NC,,,,Animalia,Bivalvia,"(Philippi,1845)",,,,Pectinidae,,,PreservedSpecimen,1238360,Hassler Expedition,natans,President and Fellows of Harvard College,,,,,[no agent data],east coast of Patagonia,,South America: Straits of Magellan,,,
"",,,,,,,ICZN,Baltic Sea,Atlantic Ocean,Baltic Sea,,,,,,3,Mollusca,1700-01-01,MCZ,,Pseudamussium,,,,,PhysicalObject,,,,,Previously identified as Pecten septemradiatus,Pectinoida,2015-02-05 17:13:26.0,,,[no verbatim date data],,1,316776,false,,,Pseudamussium septemradiatum,,,491909,,,,MCZ:Mala:316776,Mala,,CC-BY-NC,,,,Animalia,Bivalvia,"(Muller, 1776)",,,,Pectinidae,,,PreservedSpecimen,156824,[no agent data],septemradiatum,President and Fellows of Harvard College,,,,,[no agent data],,,"Atlantic Ocean: Atlantic, Northeast: Baltic Sea",,,
